,Magid,Patent,Paper Title,1. Assignee-Affiliation overlap,2. Patenting with different org name (if found),3. Author-inventor name overlap,4. Temporal overlap w/ application year,"5. (If no overlap with application year)
Temporal overlap w/ priority application year",6. Content overlap,"Patent-paper pair
(Confidence level 0 to 5)",Note,Incomplete paper title (1/0),No patent ID in Google (1/0),Document type (only if it is not an research article),"Coverage
(2- full, 1- partial, 0- not a PPP)"
0,66225427,EP-1453233-B1,on the convergence of the link state advertisement protocol in survivablewdm mesh networks,1,,6,1,,1,2,"#Matached inventors, assignee-invention relation.
#Matched publication and application year.
#The paper describes a situation where the connection may be blocked, and the patent proposed possible solutions to blocking. The paper does describe one of the issues that the patent strives to solve, but the finding is not a technology that people typically commercialize.",0,0,,1
1,93168829,US-5550021,drd2 a1 allele and p300 abnormalities in obesity,1,,3,1,,2,5,"#All the information apart from the content overlap match perfectly.
#The patent is about using DNA technologies to diagnose patients of compulsive disorders. The paper concerns one type of the genes the patent used, and is about the diagnosis of obesity, one of the mentioned compulsive behaviors in the paper.",0,0,,2
2,102170884,US-8192734,dietary supplementation of phytase enhanced bone density in young pigs fed a high phosphorus diet,1,,2,1,,3,5,"# All the information matched perfectly.
# The paper dicusses the effect of dietary supplements to enhance the bone density of pigs, and the patent is about using dietary supplements to increase bone density in mammals. The contents in abstracts are similar and the titles are similar.",0,0,,2
3,106002827,US-7833147,cholesterol loaded cyclodextrins added to fresh bull ejaculates improve sperm cryosurvival,0,0,2,1,,1,0,"# It is apparent that the author sold the invention to a technological service company.
# The invention about a process for selecting sperm cells without any physical sorting, but the paper is about how adding one certain chemical will increase the probability of survival under low temperature.",0,0,,0
4,106246445,US-6861896,frequency dynamic range power,1,,1,1,,1,1,"# Almost all of the information matched.
# The paten is how the authors developed a biased circuit to help improve the performances of circuits.
# The paper is about how to improve te dynamic range of a circuit.
# Some overlap of the two is found but does not constitute a valid pair.",0,0,,0
5,128307627,US-9788078,mpeg video coding mpeg 1 2 4 and 7,0,0,0,0,,0,0,"# The contents of the paper and the patent do not match.
# Almost three decades of time difference.
# Different author and inventor pair, and no affilication-assignee overlap.",0,0,,0
6,202003029,US-8209617,microsoft research at duc2006 task focused summarization with sentence simplification and lexical expansion,1,,1,1,,2,5,"# The information match perfectly.
# The paper described three features of their new system, and the papent is about the technology of the summarization feature.",0,0,,2
7,297468796,US-5712442,investigation of the reaction of aluminum lithium alloy with water by the exploding wire technique,1,,6,1,,2,5,"# All the information matched perfectly.
# The patent is about using three kinds of metal fuel elements to generate hydrogen gas to help propel a projectile, and the paper discussed the chemical activity of one of alloys and how that helps generate hydrogen gas.",0,0,,2
8,786684375,US-6463793,pumpability past accomplishments present and future challenges,0,,2,0,,0,0,"# The author own the patent himself, and after his decease, the patent is now owned by another company.
# The information matched well, but the paper is actually a literature review of engine oil pumpability, but the patent is about scanning technology.",0,0,,0
9,812000913,US-10092000,studies of a cyanine based biosensor and light induced antibacterial activities of oligo phenylene ethynylene s,1,,1,1,,3,5,"# All the information matched.
# The paper and the patent are both about ways to synthesize a novel chemical compound, and its biocensor and antiviral activity.
# The titles are similar.",0,0,,2
10,1486110564,US-5325309,an integrated asic diagnosis system,1,,3,1,,3,3,"All the information matched perfectly.
# The contents of the paper and the patent are similar, and the titles resemble each other.
# However, the only thing is that the paper is more like an introduction and description of the technology. The content of the patent seems to predate the writing and research of the paper. ",0,0,,2
11,1490907850,US-8850281,hardware based public key cryptography with public physically unclonable functions,0,0,2,1,,3,5,"# The author is a CS professor at UCLA with no online trace of being affiliated with other organizations. The most plausible guess is that the professor sold this technology to the company.
# The paper is about a cryptography function, and the patent is about using this function to generate digital signature. 
# The contents are similar, and the titles have many words in common.",0,0,,2
12,1517486366,US-5801026,a gene encoding a chloroplast omega 3 fatty acid desaturase complements alterations in fatty acid desaturation and chloroplast copy number of the fad7 mutant of arabidopsis thaliana,0,1,1,1,,2,5,"# The author uses his visiting institution as the organization, and the assignee is where he served as the director when the patent was filed. 
# The paper is about using gene editing technologies to alter the plant and its products, and the patent is about the same technology and its potential usage.",0,0,,2
13,1535983817,US-8501961,development of protease inhibitors and the fight with drug resistant hiv 1 variants,1,,2,1,,1,4,"# All the information matched perfectly.
# The patent is about different compounds that utilize PIs to treat HIV and their pharmaceutical usage. The paper was more like a summary of both research and industry advances in utilizing that PIs.
#The contents are somewhat similar but are different in nature: one is a summary, one a practical guide.",0,0,,1
14,1544240311,US-7690288,ferromagnetic and ferroelectric materials as seed sources for magnetic flux compressors,0,0,3,1,,2,5,"# All the information apart from the assignee-affiliation information matched.
# Of the two inventors who were listed as authors for the paper, one was a professor at the university with no external positions held at companies, and the other worked at a different company.
# The paper and the patent both described an explosive-driven electric pulse generator, though sharing different titles. ",0,0,,2
